"PLANT_ID" "SUBPOP" "Lat_origin" "Long_origin" "PLOT_GL" "SITE" "FL50" "GR50" "cgdd_12c_gr2fl" "crain_gr2fl" "crain_5d" "dyln_fl50" "dyln_change_sec" "DOY" "crain_1d" "crain_2d" "crain_3d" "crain_7d"
"106" "J013.B" "Gulf" 38.5111 96.8005 "P1207" "PKLE" 197 58 1594.6 512.1 0 13.9238632057367 -52.8407622725339 2019-07-17 0 0 0 0
"107" "J013.B" "Gulf" 38.5111 96.8005 "P3220" "PKLE" 198 71 1569.85 508.6 0 13.9086516910461 -54.7614528860073 2019-07-18 0 0 0 0
"108" "J013.B" "Gulf" 38.5111 96.8005 "T1217" "TMPL" 214 79 1590.77 639.42 0 13.641628601562 -82.5925031687298 2019-08-03 0.48 0.48 0.48 0.48
"109" "J013.B" "Gulf" 38.5111 96.8005 "S1101" "STIL" 233 154 1176.42 246.62 7.62 13.3678314133877 -122.914013436687 2019-08-22 34.8 34.8 34.8 42.42
"110" "J013.B" "Gulf" 38.5111 96.8005 "F3515" "FRMI" 249 143 1112.5 321.8 8.2 12.9631280898302 -163.275105804553 2019-09-07 0 0 0 8.2
"111" "J013.B" "Gulf" 38.5111 96.8005 "L1502" "LINC" 250 142 1074.7 377.2 0 12.8977822338452 -159.759619831231 2019-09-08 2 2 2 2
"112" "J013.B" "Gulf" 38.5111 96.8005 "B1103" "BRKG" 259 156 818.8 502 125.3 12.5425392669793 -181.488575004728 2019-09-17 9.7 9.7 9.7 135
"113" "J013.C" "Gulf" 38.5111 96.8005 "K1514" "KING" 191 81 1553.6 310.85 0 13.7902449834419 -35.9086333956945 2019-07-11 0 0 0 0
"114" "J013.C" "Gulf" 38.5111 96.8005 "P4215" "PKLE" 195 74 1487.35 499.2 0 13.9526758788604 -48.8944922049278 2019-07-15 0 0 0 0
"115" "J013.C" "Gulf" 38.5111 96.8005 "T3011" "TMPL" 221 70 1739.895 664.65 2.56 13.4714362989827 -90.9691784261803 2019-08-10 0 0 0 2.56
"116" "J013.C" "Gulf" 38.5111 96.8005 "C5005" "CLMB" 232 122 1086 395.99 3.05 13.5492093287449 -136.0984033927 2019-08-21 0.76 0.76 0.76 3.81
"117" "J013.C" "Gulf" 38.5111 96.8005 "L2506" "LINC" 252 134 1141.75 390.9 2 12.8087109578572 -160.510078563086 2019-09-10 11.2 11.2 13.2 13.2
"118" "J013.C" "Gulf" 38.5111 96.8005 "F2713" "FRMI" 254 143 1163.9 328.1 6.3 12.7347575062536 -165.116742037122 2019-09-12 3.3 5.3 5.3 9.6
"119" "J013.C" "Gulf" 38.5111 96.8005 "M2019" "KBSM" 261 133 1082.9 384 14 12.4184916815375 -170.23170757799 2019-09-19 0 0 0 14
"120" "J013.C" "Gulf" 38.5111 96.8005 "B1204" "BRKG" 268 156 886 517 5.3 12.0869434419642 -182.601697082286 2019-09-26 0 0 0 5.3
"121" "J016.A" "Gulf" 35.26 96.18 "T1507" "TMPL" 176 81 970.52 607.66 59.69 14.1616492312875 -6.21791257196236 2019-06-26 0 0 59.69 59.69
"122" "J016.A" "Gulf" 35.26 96.18 "K2207" "KING" 212 60 2072.55 328.87 2.03 13.473160504577 -68.8743181237477 2019-08-01 0 0 0 2.03
"123" "J016.A" "Gulf" 35.26 96.18 "P1821" "PKLE" 217 52 1978.85 518.7 5.1 13.532109370035 -84.0950202458608 2019-08-06 0 0 5.1 5.1
"124" "J016.A" "Gulf" 35.26 96.18 "C6016" "CLMB" 238 119 1157.4 490.74 41.15 13.317507023575 -140.935766061927 2019-08-27 0 14.99 38.87 41.15
"125" "J016.A" "Gulf" 35.26 96.18 "S3416" "STIL" 240 100 1626.025 872.22 79.75 13.1231563476419 -127.810620594487 2019-08-29 0 0 0.25 79.75
"126" "J016.A" "Gulf" 35.26 96.18 "F1917" "FRMI" 248 149 1062.1 258.7 9.7 13.008482285887 -162.834464477683 2019-09-06 0 0 0 9.7
"127" "J016.A" "Gulf" 35.26 96.18 "L2408" "LINC" 254 142 1118.1 390.4 13.2 12.7192608490373 -161.169499347994 2019-09-12 5.1 5.1 16.3 18.3
"128" "J016.A" "Gulf" 35.26 96.18 "M4003" "KBSM" 259 128 1072.75 400 35 12.513015249613 -169.854685275952 2019-09-17 0 0 2 35
"129" "J016.A" "Gulf" 35.26 96.18 "B1509" "BRKG" 261 149 879.4 511.7 11 12.4415486495558 -181.874532171857 2019-09-19 0 0 9.7 11
"130" "J016.B" "Gulf" 35.26 96.18 "K2319" "KING" 182 58 1544.75 324.56 0.25 13.8604504713942 -17.9915616263422 2019-07-02 0 0 0 0.25
"131" "J016.B" "Gulf" 35.26 96.18 "P5602" "PKLE" 187 48 1422.25 508.2 0.3 14.0450984509943 -31.8447099571642 2019-07-07 0 0 0 0.3
"132" "J016.B" "Gulf" 35.26 96.18 "C1005" "CLMB" 213 119 869.45 419.62 32.26 14.211725606504 -110.803261422527 2019-08-02 0 0 3.3 32.26
"133" "J016.B" "Gulf" 35.26 96.18 "T2403" "TMPL" 221 68 1755.055 666.07 2.56 13.4714362989827 -90.9691784261803 2019-08-10 0 0 0 2.56
"134" "J016.B" "Gulf" 35.26 96.18 "B2816" "BRKG" 247 154 769.4 343.3 2 13.1420566971595 -177.312880061717 2019-09-05 0 0 0 2
"135" "J016.B" "Gulf" 35.26 96.18 "L4108" "LINC" 250 134 1121.6 388.9 0 12.8977822338452 -159.759619831231 2019-09-08 2 2 2 2
"136" "J016.B" "Gulf" 35.26 96.18 "M3812" "KBSM" 252 127 1005 380 2 12.8418102030715 -167.880269837397 2019-09-10 1 2 2 3
"137" "J016.C" "Gulf" 35.26 96.18 "P6404" "PKLE" 199 74 1565.3 499.2 0 13.8929166174436 -56.6462649689534 2019-07-19 0 0 0 0
"138" "J016.C" "Gulf" 35.26 96.18 "K1420" "KING" 207 67 1965.2 325.32 4.31 13.5652816570973 -62.3377534102353 2019-07-27 0 0 0.25 4.31
"139" "J016.C" "Gulf" 35.26 96.18 "T1804" "TMPL" 221 84 1686.46 642.46 2.56 13.4714362989827 -90.9691784261803 2019-08-10 0 0 0 2.56
"140" "J016.C" "Gulf" 35.26 96.18 "C1110" "CLMB" 246 119 1228.8 529.85 39.11 12.9981157183144 -145.631202635452 2019-09-04 0 0 0 39.11
"141" "J016.C" "Gulf" 35.26 96.18 "F3719" "FRMI" 249 149 1069.25 258.7 8.2 12.9631280898302 -163.275105804553 2019-09-07 0 0 0 8.2
"142" "J016.C" "Gulf" 35.26 96.18 "L2002" "LINC" 254 138 1134.7 399.6 13.2 12.7192608490373 -161.169499347994 2019-09-12 5.1 5.1 16.3 18.3
"143" "J016.C" "Gulf" 35.26 96.18 "B2602" "BRKG" 259 154 832.6 502 125.3 12.5425392669793 -181.488575004728 2019-09-17 9.7 9.7 9.7 135
"144" "J016.C" "Gulf" 35.26 96.18 "M4210" "KBSM" 259 138 1057.2 376 35 12.513015249613 -169.854685275952 2019-09-17 0 0 2 35
"145" "J016.C" "Gulf" 35.26 96.18 "M3720" "KBSM" 261 133 1082.9 384 14 12.4184916815375 -170.23170757799 2019-09-19 0 0 0 14
"146" "J016.D" "Gulf" 35.26 96.18 "P5006" "PKLE" 202 61 1685.85 509.6 0 13.8426720537701 -62.0798683861928 2019-07-22 0 0 0 0
"147" "J016.D" "Gulf" 35.26 96.18 "K1905" "KING" 207 74 1876.1 325.32 4.31 13.5652816570973 -62.3377534102353 2019-07-27 0 0 0.25 4.31
"148" "J016.D" "Gulf" 35.26 96.18 "S1415" "STIL" 231 98 1515.035 757.67 7.62 13.4358877316529 -121.229482376707 2019-08-20 0 0 7.62 7.62
"149" "J016.D" "Gulf" 35.26 96.18 "C6604" "CLMB" 247 119 1237.55 529.85 38.86 12.9575334394334 -146.096203971692 2019-09-05 0 0 0 38.86
"150" "J016.D" "Gulf" 35.26 96.18 "F2315" "FRMI" 248 149 1062.1 258.7 9.7 13.008482285887 -162.834464477683 2019-09-06 0 0 0 9.7
"151" "J016.D" "Gulf" 35.26 96.18 "L1014" "LINC" 248 152 1009.95 263.1 0.5 12.9864234539969 -158.913315365876 2019-09-06 0 0 0 0.5
"152" "J016.D" "Gulf" 35.26 96.18 "M3019" "KBSM" 259 138 1057.2 376 35 12.513015249613 -169.854685275952 2019-09-17 0 0 2 35
"153" "J016.D" "Gulf" 35.26 96.18 "T1111" "TMPL" 266 70 2528.955 684.97 0 12.1500965199492 -112.519571194751 2019-09-24 0 0 0 0
