path,site,phe,subpop,individuals,SNPs,PCs,date_run,time_run,bonferroni,notes,qqplot,peak info
analysis/gwas/GDD/QQplot,KING,PTT.12C,Gulf,111,10.3M,8,2020-06-13,23.58.30.png,,,,
analysis/gwas/GDD/QQplot,KING,PTT.12C,Midwest_Gulf,135,12.1M,4,2020-06-13,01.48.14.png,,,,
analysis/gwas/GDD/QQplot,LINC,CGDD.12C,Atlantic,123,10.6M,3,2020-06-14,07.13.25.png,,,,
analysis/gwas/GDD/QQplot,LINC,CGDD.12C,Midwest_Gulf,132,12.1M,6,2020-06-12,16.44.31.png,,,,
analysis/gwas/GDD/QQplot,LINC,CGDD.12C,Midwest_Atlantic,190,12.3M,9,2020-06-14,22.12.12.png,,,,
analysis/gwas/GDD/QQplot,LINC,CRAIN.5d,Atlantic,123,10.6M,3,2020-06-14,12.08.41.png,,,,
analysis/gwas/GDD/QQplot,LINC,CRAIN.5d,Midwest_Gulf,132,12.1M,6,2020-06-12,23.29.44.png,,,,
analysis/gwas/GDD/QQplot,LINC,CRAIN.5d,Midwest_Atlantic,190,12.3M,0,2020-06-15,04.27.28.png,,,,
analysis/gwas/GDD/QQplot,LINC,CRAIN,Atlantic,123,10.6M,1,2020-06-14,11.55.45.png,,,,
analysis/gwas/GDD/QQplot,LINC,CRAIN,Midwest_Gulf,132,12.1M,5,2020-06-12,23.16.04.png,,,,
analysis/gwas/GDD/QQplot,LINC,CRAIN,Midwest_Atlantic,190,12.3M,5,2020-06-15,04.13.10.png,,,,
analysis/gwas/GDD/QQplot,LINC,EM1,Atlantic,123,10.6M,8,2020-06-14,17.31.02.png,,,,
analysis/gwas/GDD/QQplot,LINC,EM1,Midwest_Gulf,136,12.1M,15,2020-06-13,07.30.12.png,,,,
analysis/gwas/GDD/QQplot,LINC,EM1,Midwest_Atlantic,193,12.3M,11,2020-06-15,11.57.38.png,,,,
analysis/gwas/GDD/QQplot,LINC,EM50,Atlantic,123,10.6M,7,2020-06-14,17.43.55.png,,,,
analysis/gwas/GDD/QQplot,LINC,EM50,Midwest_Gulf,136,12.1M,15,2020-06-13,07.44.05.png,,,,
analysis/gwas/GDD/QQplot,LINC,EM50,Midwest_Atlantic,193,12.3M,12,2020-06-15,12.11.55.png,,,,
analysis/gwas/GDD/QQplot,LINC,FL1,Atlantic,123,10.6M,3,2020-06-14,17.56.45.png,,,,
analysis/gwas/GDD/QQplot,LINC,FL1,Midwest_Gulf,136,12.1M,9,2020-06-13,07.58.09.png,,,,
analysis/gwas/GDD/QQplot,LINC,FL1,Midwest_Atlantic,193,12.3M,7,2020-06-15,12.26.25.png,,,,
analysis/gwas/GDD/QQplot,LINC,FL50,Atlantic,123,10.6M,3,2020-06-14,10.00.32.png,,,,
analysis/gwas/GDD/QQplot,LINC,FL50,Midwest_Gulf,133,12.1M,9,2020-06-12,20.31.10.png,,,,
analysis/gwas/GDD/QQplot,LINC,FL50,Midwest_Atlantic,190,12.3M,9,2020-06-15,01.49.18.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR100,Atlantic,120,10.6M,3,2020-06-14,18.22.25.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR100,Midwest_Gulf,131,12.1M,3,2020-06-13,08.26.10.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR100,Midwest_Atlantic,190,12.3M,4,2020-06-15,12.55.19.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR1,Atlantic,124,10.6M,14,2020-06-14,18.09.40.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR1,Midwest_Gulf,138,12.1M,3,2020-06-13,08.12.16.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR1,Midwest_Atlantic,194,12.3M,11,2020-06-15,12.41.02.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR50,Atlantic,124,10.6M,5,2020-06-14,08.30.32.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR50,Midwest_Gulf,137,12.1M,3,2020-06-12,18.38.53.png,,,,
analysis/gwas/GDD/QQplot,LINC,GR50,Midwest_Atlantic,194,12.3M,4,2020-06-15,00.08.32.png,,,,
analysis/gwas/GDD/QQplot,LINC,PTT.12C,Atlantic,123,10.6M,5,2020-06-14,13.51.27.png,,,,
analysis/gwas/GDD/QQplot,LINC,PTT.12C,Midwest_Gulf,132,12.1M,6,2020-06-13,02.02.17.png,,,,
analysis/gwas/GDD/QQplot,LINC,PTT.12C,Midwest_Atlantic,190,12.3M,9,2020-06-15,06.51.53.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Midwest,120,8.8M,13,2020-06-13,11.45.17.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Gulf,184,10.3M,14,2020-06-13,18.07.43.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Atlantic,262,10.6M,14,2020-06-14,06.34.49.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Midwest_Gulf,304,12.1M,5,2020-06-12,15.47.12.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Midwest_Atlantic,382,12.3M,14,2020-06-14,21.28.47.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Midwest,120,8.8M,2,2020-06-13,13.40.15.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Gulf,184,10.3M,7,2020-06-13,21.42.44.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Atlantic,262,10.6M,0,2020-06-14,10.51.59.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Midwest_Gulf,304,12.1M,2,2020-06-12,21.40.11.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Midwest_Atlantic,382,12.3M,1,2020-06-15,03.01.30.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN,Midwest,120,8.8M,2,2020-06-13,13.28.53.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN,Gulf,184,10.3M,14,2020-06-13,21.30.06.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN,Atlantic,262,10.6M,11,2020-06-14,10.39.10.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN,Midwest_Gulf,304,12.1M,15,2020-06-12,21.26.13.png,,,,
analysis/gwas/GDD/QQplot,PKLE,CRAIN,Midwest_Atlantic,382,12.3M,15,2020-06-15,02.46.52.png,,,,
analysis/gwas/GDD/QQplot,PKLE,EM1,Midwest,122,8.8M,4,2020-06-13,15.11.41.png,,,,
