indv,subpop,site,phe,bonferroni,qqplot,notes,peak info,mash_decision,SNPs,PCs,date_run,time_run,plot order,,key
211,Atlantic_Gulf,KING,GR50,100,ok,nice,8K,,11.5M,6,2020-06-15,19.26.40,203,,
191,Atlantic_Gulf,LINC,GR50,0,low sig,,,,11.5M,4,2020-06-15,19.40.37,245,,
492,Atlantic_Gulf,PKLE,GR50,1,ok,,,,11.5M,14,2020-06-15,18.44.31,308,,
369,Atlantic_Gulf,STIL,GR50,0,low sig,,,,11.5M,1,2020-06-15,20.08.15,357,,
311,Atlantic_Gulf,TMPL,GR50,1,ok,,9K,,11.5M,11,2020-06-15,20.22.05,402,,
376,Atlantic_Gulf,CLMB,PTT.12C,1,ok,nice,1N,,11.5M,12,2020-06-16,02.38.21,108,,
389,Atlantic_Gulf,KBSM,PTT.12C,10,signal,nice,"2K, 5N, 7N",,11.5M,12,2020-06-16,03.20.31,174,,
172,Atlantic_Gulf,KING,PTT.12C,0,ok,,,,11.5M,6,2020-06-16,02.52.12,210,,
188,Atlantic_Gulf,LINC,PTT.12C,1,ok,,,,11.5M,9,2020-06-16,03.06.28,253,,
446,Atlantic_Gulf,PKLE,PTT.12C,100,signal,nice,"6K, 8K",,11.5M,12,2020-06-16,02.10.14,320,,
168,Atlantic_Gulf,STIL,PTT.12C,0,low sig,,,,11.5M,12,2020-06-16,03.34.32,365,,
297,Atlantic_Gulf,TMPL,PTT.12C,1,signal,nice,8N,,11.5M,12,2020-06-16,03.48.14,412,,
148,Gulf,CLMB,CGDD.12C,0,ok,nice,5N,,10.3M,2,2020-06-13,18.20.32,44,,Gulf
191,Gulf,KBSM,CGDD.12C,100,signal,nice,"8N, 4K, 1N",,10.3M,4,2020-06-13,18.45.57,110,,"CGDD12C, FL50 x 5"
111,Gulf,KING,CGDD.12C,0,ok,,,,10.3M,8,2020-06-13,18.33.18,175,,
184,Gulf,PKLE,CGDD.12C,10,ok,,,,10.3M,14,2020-06-13,18.07.43,256,,
194,Gulf,TMPL,CGDD.12C,0,low sig,,,,10.3M,7,2020-06-13,18.58.39,368,,
148,Gulf,CLMB,CRAIN,0,ok,nice,Chr05N,,10.3M,11,2020-06-13,21.55.16,56,,
191,Gulf,KBSM,CRAIN,100,signal,nice,Chr08N,,10.3M,7,2020-06-13,22.44.43,122,,
111,Gulf,KING,CRAIN,1,ok,,,,10.3M,4,2020-06-13,22.20.11,181,,
184,Gulf,PKLE,CRAIN,10,signal,nice,Chr07K,,10.3M,14,2020-06-13,21.30.06,268,,
194,Gulf,TMPL,CRAIN,10,signal,messy,,,10.3M,4,2020-06-13,23.08.55,378,,
148,Gulf,CLMB,CRAIN.5d,0,low sig,,,,10.3M,1,2020-06-13,22.07.53,50,,
191,Gulf,KBSM,CRAIN.5d,0,low sig,,,,10.3M,0,2020-06-13,22.56.47,116,,
111,Gulf,KING,CRAIN.5d,100,signal,messy,,,10.3M,0,2020-06-13,22.32.12,178,,
184,Gulf,PKLE,CRAIN.5d,1,ok,nice,"5N, 7K",,10.3M,7,2020-06-13,21.42.44,262,,
194,Gulf,TMPL,CRAIN.5d,10,signal,nice,"Chr04N, Chr05N",,10.3M,0,2020-06-13,23.21.08,373,,
149,Gulf,CLMB,EM1,0,low sig,,,,10.3M,7,2020-06-14,01.40.04,62,,
205,Gulf,KBSM,EM1,0,ok,,,,10.3M,14,2020-06-14,03.46.12,129,,
185,Gulf,KING,EM1,0,low sig,nice,"3K, 9K",,10.3M,1,2020-06-14,02.43.07,184,,
226,Gulf,PKLE,EM1,1,signal,,,,10.3M,14,2020-06-14,00.36.17,274,,
217,Gulf,STIL,EM1,0,low sig,,,,10.3M,9,2020-06-14,04.49.35,331,,
149,Gulf,CLMB,EM50,1,signal,nice,9N,,10.3M,7,2020-06-14,01.52.47,68,,
205,Gulf,KBSM,EM50,0,ok,,,,10.3M,14,2020-06-14,03.58.44,135,,
183,Gulf,KING,EM50,1,signal,,,,10.3M,6,2020-06-14,02.55.37,187,,
226,Gulf,PKLE,EM50,10,signal,messy,,,10.3M,14,2020-06-14,00.49.14,280,,
217,Gulf,STIL,EM50,1,signal,nice,"1N, 2N, 6N",,10.3M,9,2020-06-14,05.02.13,336,,
149,Gulf,CLMB,FL1,0,low sig,,,,10.3M,7,2020-06-14,02.05.30,74,,
205,Gulf,KBSM,FL1,1,ok,,,,10.3M,14,2020-06-14,04.11.25,141,,
165,Gulf,KING,FL1,1,signal,,,,10.3M,4,2020-06-14,03.08.26,190,,
208,Gulf,PKLE,FL1,10,ok,nice,"3N, 8N",,10.3M,14,2020-06-14,01.01.43,286,,
176,Gulf,STIL,FL1,0,ok,,,,10.3M,12,2020-06-14,05.14.45,341,,
194,Gulf,TMPL,FL1,1,signal,,,,10.3M,9,2020-06-14,05.52.02,385,,
149,Gulf,CLMB,FL50,0,low sig,,,,10.3M,13,2020-06-13,20.39.37,80,,
198,Gulf,KBSM,FL50,100,signal,nice,,,10.3M,7,2020-06-13,21.04.47,146,,
155,Gulf,KING,FL50,0,ok,,,,10.3M,9,2020-06-13,20.52.14,193,,
184,Gulf,PKLE,FL50,10,signal,,,,10.3M,14,2020-06-13,20.27.05,292,,
194,Gulf,TMPL,FL50,0,low sig,,,,10.3M,6,2020-06-13,21.17.19,390,,
149,Gulf,CLMB,GR1,100,signal,nice; centromere,Chr09N,,10.3M,7,2020-06-14,02.18.15,86,,
208,Gulf,KBSM,GR1,10,signal,,,,10.3M,8,2020-06-14,04.24.10,153,,
126,Gulf,KING,GR1,10,ok,,,,10.3M,4,2020-06-14,03.20.43,197,,
227,Gulf,PKLE,GR1,0,ok,,,,10.3M,6,2020-06-14,01.14.36,298,,
217,Gulf,STIL,GR1,1,ok,,,,10.3M,2,2020-06-14,05.27.19,349,,
204,Gulf,TMPL,GR1,10,signal,,,,10.3M,14,2020-06-14,06.04.58,395,,
148,Gulf,CLMB,GR100,0,ok,,,,10.3M,13,2020-06-14,02.30.50,98,,
171,Gulf,KBSM,GR100,0,low sig,,,,10.3M,5,2020-06-14,04.37.00,164,,
161,Gulf,KING,GR100,1,signal,nice,,,10.3M,6,2020-06-14,03.33.30,205,,
227,Gulf,PKLE,GR100,1,ok,,,,10.3M,14,2020-06-14,01.27.26,310,,
213,Gulf,STIL,GR100,0,low sig,,,,10.3M,0,2020-06-14,05.39.37,359,,
200,Gulf,TMPL,GR100,1,ok,,,,10.3M,9,2020-06-14,06.17.35,405,,
148,Gulf,CLMB,GR50,1,ok,,,,10.3M,13,2020-06-13,19.24.08,92,,
195,Gulf,KBSM,GR50,1,signal,nice,5K,,10.3M,9,2020-06-13,19.49.33,158,,
138,Gulf,KING,GR50,10,signal,,,,10.3M,6,2020-06-13,19.36.49,201,,
227,Gulf,PKLE,GR50,1,signal,,,,10.3M,14,2020-06-13,19.11.32,304,,
215,Gulf,STIL,GR50,0,low sig,,,,10.3M,0,2020-06-13,20.01.52,354,,
204,Gulf,TMPL,GR50,1,ok,,,,10.3M,9,2020-06-13,20.14.18,400,,
148,Gulf,CLMB,PTT.12C,0,low sig,,Chr05N,,10.3M,2,2020-06-13,23.45.57,104,,
111,Gulf,KING,PTT.12C,0,ok,,,,10.3M,8,2020-06-13,23.58.30,208,,
184,Gulf,PKLE,PTT.12C,1,ok,nice,3N,,10.3M,14,2020-06-13,23.33.34,316,,
194,Gulf,TMPL,PTT.12C,0,ok,,,,10.3M,4,2020-06-14,00.23.47,410,,
119,Midwest,CLMB,CGDD.12C,10,signal,nice,8N,,8.8M,9,2020-06-13,11.57.03,43,,Midwest
108,Midwest,KBSM,CGDD.12C,1,ok,nice,Chr04K,,8.8M,8,2020-06-13,12.08.46,109,,"CGDD.12C, FL50 x3"
120,Midwest,PKLE,CGDD.12C,10,signal,nice,"Chr02N, 6N",,8.8M,13,2020-06-13,11.45.17,255,,
119,Midwest,CLMB,CRAIN,0,ok,,,,8.8M,11,2020-06-13,13.51.44,55,,
108,Midwest,KBSM,CRAIN,0,low sig,,,,8.8M,5,2020-06-13,14.14.28,121,,
120,Midwest,PKLE,CRAIN,1,signal,,,,8.8M,2,2020-06-13,13.28.53,267,,
119,Midwest,CLMB,CRAIN.5d,0,low sig,,,,8.8M,3,2020-06-13,14.03.03,49,,
