site,phe,individuals,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot
LINC,CRAIN,123,10.6M,1,2020-06-14,Atlantic,11.55.45,100,nice,,
LINC,CRAIN,132,12.1M,5,2020-06-12,Midwest_Gulf,23.16.04,0,,,skip
LINC,CRAIN,188,11.5M,3,2020-06-16,Atlantic_Gulf,00.18.50,,,,
LINC,CRAIN,190,12.3M,5,2020-06-15,Midwest_Atlantic,04.13.10,10,nice,"Chr05N, Chr08N",
LINC,EM1,123,10.6M,8,2020-06-14,Atlantic,17.31.02,1,,,skip
LINC,EM1,136,12.1M,15,2020-06-13,Midwest_Gulf,07.30.12,1,,,skip
LINC,EM1,189,11.5M,13,2020-06-16,Atlantic_Gulf,08.42.39,,,,
LINC,EM1,193,12.3M,11,2020-06-15,Midwest_Atlantic,11.57.38,100,centromere,Chr02K,
LINC,EM50,123,10.6M,7,2020-06-14,Atlantic,17.43.55,1,,,skip
LINC,EM50,136,12.1M,15,2020-06-13,Midwest_Gulf,07.44.05,0,,,skip
LINC,EM50,189,11.5M,14,2020-06-16,Atlantic_Gulf,08.56.46,,,,
LINC,EM50,193,12.3M,12,2020-06-15,Midwest_Atlantic,12.11.55,10,centromere,,
LINC,FL1,123,10.6M,3,2020-06-14,Atlantic,17.56.45,1,,,skip
LINC,FL1,136,12.1M,9,2020-06-13,Midwest_Gulf,07.58.09,10,messy,,skip
LINC,FL1,189,11.5M,14,2020-06-16,Atlantic_Gulf,09.10.35,,,,
LINC,FL1,193,12.3M,7,2020-06-15,Midwest_Atlantic,12.26.25,10,centromere,,
LINC,FL50,123,10.6M,3,2020-06-14,Atlantic,10.00.32,0,,,skip
LINC,FL50,133,12.1M,9,2020-06-12,Midwest_Gulf,20.31.10,10,,,skip
LINC,FL50,189,11.5M,14,2020-06-15,Atlantic_Gulf,21.32.28,,,,
LINC,FL50,190,12.3M,9,2020-06-15,Midwest_Atlantic,01.49.18,0,,,skip
