site,phe,indv,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot,qqplot,plot order,,key
KING,EM50,252,11.5M,12,2020-06-16,Atlantic_Gulf,07.46.53,0,,,skip,ok,189,,
KING,FL1,165,10.3M,4,2020-06-14,Gulf,03.08.26,1,,,,signal,190,,
KING,FL1,194,12.1M,3,2020-06-13,Midwest_Gulf,06.46.45,1,,,,ok,191,,
KING,FL1,231,11.5M,5,2020-06-16,Atlantic_Gulf,08.00.43,1,nice,"5N, 6N",,signal,192,,
KING,FL50,155,10.3M,9,2020-06-13,Gulf,20.52.14,0,,,skip,ok,193,,
KING,FL50,179,12.1M,7,2020-06-12,Midwest_Gulf,20.17.34,1,,,,signal,194,,
KING,FL50,217,11.5M,12,2020-06-15,Atlantic_Gulf,21.18.29,0,,,skip,ok,195,,
KING,GR1,106,12.3M,4,2020-06-15,Midwest_Atlantic,11.28.57,0,,,skip,low sig,196,,
KING,GR1,126,10.3M,4,2020-06-14,Gulf,03.20.43,10,,,,ok,197,,
KING,GR1,158,12.1M,5,2020-06-13,Midwest_Gulf,07.01.15,100,messy,,skip,iffy,198,,
KING,GR1,200,11.5M,3,2020-06-16,Atlantic_Gulf,08.14.36,100,messy,,skip,signal,199,,
KING,GR50,103,12.3M,4,2020-06-14,Midwest_Atlantic,23.54.21,0,,,skip,low sig,200,,
KING,GR50,138,10.3M,6,2020-06-13,Gulf,19.36.49,10,,,,signal,201,,
KING,GR50,168,12.1M,5,2020-06-12,Midwest_Gulf,18.25.07,100,,,,iffy,202,,
KING,GR50,211,11.5M,6,2020-06-15,Atlantic_Gulf,19.26.40,100,nice,8K,,ok,203,,
KING,GR100,102,12.3M,4,2020-06-15,Midwest_Atlantic,11.43.17,0,,,skip,low sig,204,,
KING,GR100,161,10.3M,6,2020-06-14,Gulf,03.33.30,1,nice,,,signal,205,,
KING,GR100,190,12.1M,9,2020-06-13,Midwest_Gulf,07.15.45,10,nice,"7K, 5N",,signal,206,,
KING,GR100,234,11.5M,11,2020-06-16,Atlantic_Gulf,08.28.41,10,nice,"3N, 8K",,ok,207,,
KING,PTT.12C,111,10.3M,8,2020-06-13,Gulf,23.58.30,0,,,skip,ok,208,,
KING,PTT.12C,135,12.1M,4,2020-06-13,Midwest_Gulf,01.48.14,1,,,,signal,209,,
KING,PTT.12C,172,11.5M,6,2020-06-16,Atlantic_Gulf,02.52.12,0,,,skip,ok,210,,
LINC,CGDD.12C,123,10.6M,3,2020-06-14,Atlantic,07.13.25,0,,,skip,ok,211,,
LINC,CGDD.12C,132,12.1M,6,2020-06-12,Midwest_Gulf,16.44.31,100,nice,"Chr04K, Chr05N, 8K",,signal,212,,
LINC,CGDD.12C,188,11.5M,12,2020-06-15,Atlantic_Gulf,17.48.28,1,,,,signal,213,,
LINC,CGDD.12C,190,12.3M,9,2020-06-14,Midwest_Atlantic,22.12.12,0,,,skip,ok,214,,
LINC,CRAIN.5d,123,10.6M,3,2020-06-14,Atlantic,12.08.41,1,nice,4N,,signal,215,,
LINC,CRAIN.5d,132,12.1M,6,2020-06-12,Midwest_Gulf,23.29.44,1,,,,signal,216,,
LINC,CRAIN.5d,188,11.5M,3,2020-06-16,Atlantic_Gulf,00.32.28,10,nice,"1K, 4N",,ok,217,,
LINC,CRAIN.5d,190,12.3M,0,2020-06-15,Midwest_Atlantic,04.27.28,1,nice,1K,,ok,218,,
LINC,CRAIN,123,10.6M,1,2020-06-14,Atlantic,11.55.45,100,nice,"2N, 5N, 6N, 8N",,signal,219,,
LINC,CRAIN,132,12.1M,5,2020-06-12,Midwest_Gulf,23.16.04,0,,,skip,low sig,220,,
LINC,CRAIN,188,11.5M,3,2020-06-16,Atlantic_Gulf,00.18.50,10,nice,8N,,signal,221,,
LINC,CRAIN,190,12.3M,5,2020-06-15,Midwest_Atlantic,04.13.10,10,nice,"Chr05N, Chr08N",,signal,222,,
LINC,EM1,123,10.6M,8,2020-06-14,Atlantic,17.31.02,1,,,,signal,223,,
LINC,EM1,136,12.1M,15,2020-06-13,Midwest_Gulf,07.30.12,1,,,,signal,224,,
LINC,EM1,189,11.5M,13,2020-06-16,Atlantic_Gulf,08.42.39,1,,,,ok,225,,
LINC,EM1,193,12.3M,11,2020-06-15,Midwest_Atlantic,11.57.38,100,centromere,Chr02K,,signal,226,,
LINC,EM50,123,10.6M,7,2020-06-14,Atlantic,17.43.55,1,,,,ok,227,,
LINC,EM50,136,12.1M,15,2020-06-13,Midwest_Gulf,07.44.05,0,,,skip,ok,228,,
LINC,EM50,189,11.5M,14,2020-06-16,Atlantic_Gulf,08.56.46,1,nice,"5K, 9K",,ok,229,,
LINC,EM50,193,12.3M,12,2020-06-15,Midwest_Atlantic,12.11.55,10,centromere,"2K, 8K",,signal,230,,
LINC,FL1,123,10.6M,3,2020-06-14,Atlantic,17.56.45,1,,,,signal,231,,
