,Estimate,SE,site,subpop,phe,bic,loglik,,,,Estimate,SE,site,subpop,phe,bic,loglik
*,0.977,0.004,TX2,Gulf,FL50,1853.1,-920.9,,,,,,,,,,
*,0.974,0.005,TX2,Gulf,cgdd_12c_gr2fl,3446.5,-1717.6,,,,,,,,,,
,0.941,0.011,TX2,Gulf,dyln_change_sec,1938.3,-963.5,,,,,,,,,,
,0.681,0.060,TX2,Gulf,crain_7d,1581.6,-785.2,,,,,,,,,,
,0.593,0.076,TX2,Gulf,CRAIN_5d,1567.8,-778.3,,,,,,,,,,
,0.551,0.082,TX2,Gulf,crain_3d,1251.3,-620.0,,,,,,,,,,
,0.494,0.093,TX2,Gulf,crain_2d,1099.5,-544.1,,,,,,,,,,
*,0.990,0.002,TX2,Gulf_and_Midwest,crain_gr2fl,3158.4,-1573.2,,,,,,,,,,
*,0.973,0.004,TX2,Gulf_and_Midwest,dyln_fl50,-316.9,164.4,,,,,,,,,,
*,0.969,0.005,TX2,Gulf_and_Midwest,FL50,2695.3,-1341.7,,,,,,,,,,
*,0.964,0.006,TX2,Gulf_and_Midwest,cgdd_12c_gr2fl,4978.1,-2483.1,,,,,,,,,,
,0.946,0.009,TX2,Gulf_and_Midwest,dyln_change_sec,2890.4,-1439.2,,,,,,,,,,
,0.904,0.017,TX2,Gulf_and_Midwest,CRAIN_5d,2925.7,-1456.9,,,,,,,,,,
,0.883,0.020,TX2,Gulf_and_Midwest,crain_7d,2991.1,-1489.6,,,,,,,,,,
,0.855,0.025,TX2,Gulf_and_Midwest,crain_3d,2562.0,-1275.0,,,,,,,,,,
,0.768,0.041,TX2,Gulf_and_Midwest,crain_2d,2376.5,-1182.3,,,,,,,,,,
*,0.984,0.016,TX2,Midwest,cgdd_12c_gr2fl,1399.2,-694.8,,,,,,,,,,
*,0.984,0.016,TX2,Midwest,dyln_change_sec,908.5,-449.5,,,,,,,,,,
,0.964,0.035,TX2,Midwest,FL50,756.6,-373.5,,,,,,,,,,
,0.955,0.044,TX2,Midwest,crain_gr2fl,1114.3,-552.4,,,,,,,,,,
,0.920,0.070,TX2,Midwest,dyln_fl50,-265.5,137.5,,,,,,,,,,
,0.493,0.287,TX2,Midwest,CRAIN_5d,1055.7,-523.1,,,,,,,,,,
,0.487,0.252,TX2,Midwest,crain_7d,1074.5,-532.5,,,,,,,,,,
,0.296,0.318,TX2,Midwest,crain_3d,940.2,-465.3,,,,,,,,,,
,0.101,0.293,TX2,Midwest,crain_2d,876.0,-433.2,,,,,,,,,,
*,0.878,0.034,TX3,Gulf,crain_gr2fl,1684.1,-836.6,,,,,,,,,,
*,0.638,0.080,TX3,Gulf,dyln_fl50,-2.4,6.7,,,,,,,,,,
*,0.632,0.084,TX3,Gulf,cgdd_12c_gr2fl,3106.6,-1547.8,,,,,,,,,,
,0.629,0.085,TX3,Gulf,FL50,1750.4,-869.7,,,,,,,,,,
,0.481,0.122,TX3,Gulf,dyln_change_sec,1776.2,-882.6,,,,,,,,,,
,0.476,0.135,TX3,Gulf,crain_7d,1358.6,-673.8,,,,,,,,,,
,0.012,0.044,TX3,Gulf,crain_2d,1123.7,-556.4,,,,,,,,,,
,0.003,0.033,TX3,Gulf,CRAIN_5d,1327.3,-658.2,,,,,,,,,,
,0.000,0.042,TX3,Gulf,crain_3d,1209.8,-599.4,,,,,,,,,,
*,0.985,0.003,TX3,Gulf_and_Midwest,crain_gr2fl,2562.8,-1275.7,,,,,,,,,,
*,0.854,0.033,TX3,Gulf_and_Midwest,dyln_change_sec,2420.1,-1204.3,,,,,,,,,,
,0.762,0.050,TX3,Gulf_and_Midwest,FL50,2248.7,-1118.7,,,,,,,,,,
,0.751,0.051,TX3,Gulf_and_Midwest,cgdd_12c_gr2fl,3930.6,-1959.6,,,,,,,,,,
,0.657,0.068,TX3,Gulf_and_Midwest,dyln_fl50,-34.2,22.8,,,,,,,,,,
,0.643,0.089,TX3,Gulf_and_Midwest,crain_7d,1737.6,-863.1,,,,,,,,,,
,0.565,0.103,TX3,Gulf_and_Midwest,CRAIN_5d,1711.8,-850.2,,,,,,,,,,
,0.072,0.069,TX3,Gulf_and_Midwest,crain_2d,1437.9,-713.3,,,,,,,,,,
,0.056,0.060,TX3,Gulf_and_Midwest,crain_3d,1514.4,-751.5,,,,,,,,,,
*,1.000,0.000,TX3,Midwest,dyln_fl50,-57.9,33.0,,,,,,,,,,
*,1.000,0.591,TX3,Midwest,dyln_change_sec,539.8,-265.8,,,,,,,,,,
*,1.000,0.000,TX3,Midwest,FL50,465.6,-228.7,,,,,,,,,,
*,1.000,0.797,TX3,Midwest,CRAIN_5d,367.1,-179.5,,,,,,,,,,
*,1.000,0.000,TX3,Midwest,cgdd_12c_gr2fl,788.0,-389.9,,,,,,,,,,
*,1.000,0.000,TX3,Midwest,crain_7d,369.7,-180.8,,,,,,,,,,
,0.916,0.560,TX3,Midwest,crain_gr2fl,610.1,-301.0,,,,,,,,,,
,0.000,0.000,TX3,Midwest,crain_3d,306.7,-149.2,,,,,,,,,,
,0.000,0.663,TX3,Midwest,crain_2d,313.3,-152.6,,,,,,,,,,
