Estimate,SE,site,subpop,phe,bic,loglik
0.078304924,0.073262488,OK,Gulf_and_Midwest,CRAIN_5d,1222.420808,-606.1478089
0.090002325,0.067547265,OK,Gulf_and_Midwest,crain_2d,1076.109249,-532.9920296
0.075648107,0.059289074,OK,Gulf_and_Midwest,crain_3d,1098.635313,-544.2550616
0.191867793,0.120420524,OK,Gulf_and_Midwest,crain_7d,1242.043263,-615.9590363
0.813246861,0.036475361,MO,Gulf_and_Midwest,dyln_fl50,-172.3652389,91.93201242
0.879590652,0.025087458,MO,Gulf_and_Midwest,dyln_change_sec,2308.9688,-1148.735007
0.834365358,0.032908273,MO,Gulf_and_Midwest,FL50,1975.017124,-981.7591689
0.910225335,0.019074095,MO,Gulf_and_Midwest,GR50,1834.350483,-911.4258486
0.819785003,0.037111897,MO,Gulf_and_Midwest,cgdd_12c_gr2fl,3488.698934,-1738.600074
0.779951468,0.047354608,MO,Gulf_and_Midwest,crain_gr2fl,2919.6337,-1454.067457
0.261554341,0.128840041,MO,Gulf_and_Midwest,CRAIN_5d,2070.116549,-1029.308881
0.941907191,0.013698421,MO,Gulf_and_Midwest,crain_2d,1546.503049,-767.5021315
0.500444081,0.116987874,MO,Gulf_and_Midwest,crain_3d,1738.737254,-863.6192339
0.289768102,0.131676721,MO,Gulf_and_Midwest,crain_7d,2090.500931,-1039.501073
0.722892314,0.066005217,NE,Gulf_and_Midwest,dyln_fl50,-83.56076354,46.83023778
0.895154053,0.030662647,NE,Gulf_and_Midwest,dyln_change_sec,1107.220466,-548.5603771
0.764234632,0.059711254,NE,Gulf_and_Midwest,FL50,949.868956,-469.884622
0.502981698,0.113351969,NE,Gulf_and_Midwest,GR50,782.6103317,-386.2553099
0.742963411,0.066347593,NE,Gulf_and_Midwest,cgdd_12c_gr2fl,1683.347779,-836.6240337
0.237378107,0.146587333,NE,Gulf_and_Midwest,crain_gr2fl,1382.844803,-686.3725453
0.503119054,0.146399838,NE,Gulf_and_Midwest,CRAIN_5d,1035.324264,-512.612276
0.948079366,0.016211947,NE,Gulf_and_Midwest,crain_2d,822.4062133,-406.1532506
0.659329855,0.114948872,NE,Gulf_and_Midwest,crain_3d,926.2572855,-458.0787868
0.579850488,0.128575308,NE,Gulf_and_Midwest,crain_7d,1049.854844,-519.8775662
0.917152789,0.014593496,MI,Gulf_and_Midwest,dyln_fl50,-266.9030525,139.3784523
0.998876685,2.03E-04,MI,Gulf_and_Midwest,dyln_change_sec,2041.9665,-1015.056324
0.936339557,0.0112961,MI,Gulf_and_Midwest,FL50,2104.414722,-1046.280435
0.600244819,0.059942481,MI,Gulf_and_Midwest,GR50,1605.829376,-796.9877621
0.941863466,0.01031136,MI,Gulf_and_Midwest,cgdd_12c_gr2fl,3700.438156,-1844.292152
0.660318723,0.054806241,MI,Gulf_and_Midwest,crain_gr2fl,2985.012482,-1486.579315
0.300816182,0.089355971,MI,Gulf_and_Midwest,CRAIN_5d,2174.919082,-1081.532615
0.462794734,0.087709382,MI,Gulf_and_Midwest,crain_2d,2119.553513,-1053.849831
0.403589915,0.096751717,MI,Gulf_and_Midwest,crain_3d,2157.520588,-1072.833368
0.395145269,0.092452784,MI,Gulf_and_Midwest,crain_7d,2326.665935,-1157.406041
0.888894965,0.030763977,SD,Gulf_and_Midwest,dyln_fl50,-98.30530045,54.07990391
0.990262552,0.002902158,SD,Gulf_and_Midwest,dyln_change_sec,731.5182791,-360.8318859
0.904259595,0.026898302,SD,Gulf_and_Midwest,FL50,748.1945448,-369.1700187
0.741953645,0.067034425,SD,Gulf_and_Midwest,GR50,558.4675189,-274.3065058
0.87147715,0.036433704,SD,Gulf_and_Midwest,cgdd_12c_gr2fl,1281.973225,-636.0593587
0.793485861,0.0561541,SD,Gulf_and_Midwest,crain_gr2fl,1245.149956,-617.6477243
0.108587882,0.073451705,SD,Gulf_and_Midwest,CRAIN_5d,1205.041682,-597.5935874
0.958018012,0.012697924,SD,Gulf_and_Midwest,crain_2d,871.9509978,-431.0482452
0.659116772,0.101345277,SD,Gulf_and_Midwest,crain_3d,970.4634425,-480.3044676
0.006016469,0.019913281,SD,Gulf_and_Midwest,crain_7d,1940.098822,-965.1221574
0.335802395,0.072657565,eight sites,Gulf,dyln_fl50,-727.5921224,374.6645438
0.045735121,0.021358714,eight sites,Gulf,dyln_change_sec,10407.00693,-5192.634981
0.189520824,0.061109865,eight sites,Gulf,FL50,9729.042981,-4853.653008
0.005428975,0.003288815,eight sites,Gulf,GR50,8538.861233,-4258.562134
0.161977384,0.047750444,eight sites,Gulf,cgdd_12c_gr2fl,17874.91049,-8926.586765
0.030767197,0.014748289,eight sites,Gulf,crain_gr2fl,13405.36739,-6691.815211
0.003541266,0.003808554,eight sites,Gulf,CRAIN_5d,9951.699295,-4964.981165
0.05532593,0.022438321,eight sites,Gulf,crain_2d,7942.285985,-3960.27451
0.045139769,0.020635652,eight sites,Gulf,crain_3d,8295.236274,-4136.749655
1.24E-09,5.80E-11,eight sites,Gulf,crain_7d,16355.44331,-8166.853171
0.144467572,0.05199494,eight sites,Midwest,dyln_fl50,-580.1981958,299.7364014
0.068653,0.03333586,eight sites,Midwest,dyln_change_sec,4796.176689,-2388.451041
0.097484153,0.044616207,eight sites,Midwest,FL50,3928.197197,-1954.461295
0.020700993,0.011224136,eight sites,Midwest,GR50,3350.440337,-1665.582865
0.368102502,0.052413031,eight sites,Midwest,cgdd_12c_gr2fl,7194.025056,-3587.375224
0.061338398,0.027066848,eight sites,Midwest,crain_gr2fl,5994.624869,-2987.675131
1.03E-07,0.031097263,eight sites,Midwest,CRAIN_5d,4637.527073,-2309.126233
0.036355,0.040282344,eight sites,Midwest,crain_2d,3795.934762,-1888.330078
0.054313251,0.040579179,eight sites,Midwest,crain_3d,4065.663312,-2023.194352
0.034798764,0.036460317,eight sites,Midwest,crain_7d,4729.948177,-2355.336785
0.235052248,0.006879551,eight sites,Gulf_and_Midwest,dyln_fl50,221.7527477,-103.2655211
0.947556936,0.011874737,eight sites,Gulf_and_Midwest,dyln_change_sec,19104.08591,-9544.432102
0.856374944,0.020272306,eight sites,Gulf_and_Midwest,FL50,16157.64765,-8071.212972
0.987001377,0.006391796,eight sites,Gulf_and_Midwest,GR50,16691.94611,-8338.362202
0.769955393,0.024596635,eight sites,Gulf_and_Midwest,cgdd_12c_gr2fl,26819.11616,-13401.94722
0.930377585,0.015086577,eight sites,Gulf_and_Midwest,crain_gr2fl,21954.54673,-10969.66251
0.989636451,0.006740331,eight sites,Gulf_and_Midwest,CRAIN_5d,15000.09966,-7492.438975
0.953828544,0.019623865,eight sites,Gulf_and_Midwest,crain_2d,11855.27757,-5920.027933
0.948332432,0.01930401,eight sites,Gulf_and_Midwest,crain_3d,12536.0506,-6260.414447
0.999541679,0.001515744,eight sites,Gulf_and_Midwest,crain_7d,22849.80392,-11417.29111
